Month,Day,Saint,Notes
November,11,"Martin","7 elogia in Propylaeum"
November,12,"Martin","11 elogia in Propylaeum"
November,13,"Valentinus","8 elogia in Propylaeum"
November,14,"Clementin","8 elogia in Propylaeum"
November,15,"Eugenius","8 elogia in Propylaeum"
November,16,"Rufin","6 elogia in Propylaeum"
November,17,"Gregory","9 elogia in Propylaeum"
November,18,"Roman","6 elogia in Propylaeum"
November,19,"Elizabeth","8 elogia in Propylaeum"
November,20,"Ampel","11 elogia in Propylaeum"
November,21,"Dei genitricis","9 elogia in Propylaeum"
November,22,"Cecilia","4 elogia in Propylaeum"
November,23,"Clement","8 elogia in Propylaeum"
November,24,"Chrysogonus","8 elogia in Propylaeum"
November,25,"Catherine","5 elogia in Propylaeum"
November,26,"Silvester","11 elogia in Propylaeum"
November,27,"Basile","7 elogia in Propylaeum"
November,28,"Ruf","6 elogia in Propylaeum"
November,29,"Andrew","6 elogia in Propylaeum"
November,30,"Andrew","6 elogia in Propylaeum"
December,1,"Diodor","11 elogia in Propylaeum"
December,2,"Bibiana","11 elogia in Propylaeum"
December,3,"Sophonia","9 elogia in Propylaeum"
December,4,"Barbara","7 elogia in Propylaeum"
December,5,"Sabba","9 elogia in Propylaeum"
December,6,"Nicholas","5 elogia in Propylaeum"
December,7,"Mariae virginis","7 elogia in Propylaeum"
December,8,"Eutychian","8 elogia in Propylaeum"
December,9,"Restitut","10 elogia in Propylaeum"
December,10,"Melchiadis","9 elogia in Propylaeum"
December,11,"Damasus","7 elogia in Propylaeum"
December,12,"Synesius","4 elogia in Propylaeum"
December,13,"Lucy","7 elogia in Propylaeum"
December,14,"Heronis","8 elogia in Propylaeum"
December,15,"Mariae virginis","6 elogia in Propylaeum"
December,16,"Valentinus","5 elogia in Propylaeum"
December,17,"Florian","8 elogia in Propylaeum"
December,18,"Ruf","6 elogia in Propylaeum"
December,19,"Nemesius","7 elogia in Propylaeum"
December,20,"Thomas","8 elogia in Propylaeum"
December,21,"Thomas","6 elogia in Propylaeum"
December,22,"Flavian","4 elogia in Propylaeum"
December,23,"Victoria","4 elogia in Propylaeum"
December,24,"Gregory","7 elogia in Propylaeum"
December,25,"Anastasia","3 elogia in Propylaeum"
December,26,"Stephen","7 elogia in Propylaeum"
December,27,"John","3 elogia in Propylaeum"
December,28,"Eutychius","9 elogia in Propylaeum"
December,29,"Thomas","8 elogia in Propylaeum"
December,30,"Sabin","6 elogia in Propylaeum"
December,31,"Silvester","6 elogia in Propylaeum"
