Month,Day,Saint,Source,Notes
January,1,Odilo of Cluny,jan-vol1/saints/day-01,
January,2,Adelard of Corbie,jan-vol1/saints/day-02,
January,3,Genevieve of Paris,jan-vol1/saints/day-03,sample
January,4,Pharaildis of Ghent,jan-vol1/saints/day-04,
January,5,Edward the Confessor,jan-vol1/saints/day-05,
January,6,Epiphany,jan-vol1/saints/day-06,feast
January,7,Lucian of Antioch,jan-vol1/saints/day-07,
January,8,Severinus of Noricum,jan-vol1/saints/day-08,
January,9,Adrian of Canterbury,jan-vol1/saints/day-09,
January,10,William of Bourges,jan-vol1/saints/day-10,
January,11,Theodosius the Cenobiarch,jan-vol1/saints/day-11,
January,12,Benedict Biscop,jan-vol1/saints/day-12,
January,13,Hilary of Poitiers,jan-vol1/saints/day-13,
January,14,Felix of Nola,jan-vol1/saints/day-14,
January,15,Maurus,jan-vol1/saints/day-15,draft from Gregory's Dialogues only
January,16,"Marcellus I, Pope",jan-vol2/day-16,
January,17,Anthony the Great,jan-vol2/day-17,sample
January,18,Deicolus of Lure,jan-vol2/day-18,
January,19,Wulfstan of Worcester,jan-vol2/day-19,
January,20,Fabian,jan-vol2/day-20,
January,21,Agnes,jan-vol2/day-21,
January,22,Vincent of Saragossa,jan-vol2/day-22,
January,23,John the Almsgiver,jan-vol2/day-23,
January,24,Babylas of Antioch,jan-vol2/day-24,
January,25,Henry Suso,jan-vol2/day-25,
January,26,Paula,jan-vol2/day-26,
January,27,John Chrysostom,jan-vol2/day-27,
January,28,Julian Sabas,jan-vol2/day-28,
January,29,Gildas,jan-vol2/day-29,
January,30,Hyacintha Mariscotti,jan-vol2/day-30,
January,31,Marcella,jan-vol2/day-31,
February,1,Brigid of Ireland,feb/day-01,
February,2,Cornelius the Centurion,feb/day-02,swap 2026-05-14 (eleventh correction): Presentation of the Lord has no DE-section in AASS Feb 2; Cornelius at line 1948 (Acts 10's first Gentile convert, AASS treats him as bishop of Caesarea)
February,3,Ansgar of Hamburg-Bremen,feb/day-03,
February,4,Nicholas of Studios,feb/day-04,
February,5,Agatha of Sicily,feb/day-05,
February,6,Vedast of Arras,feb/day-06,
February,7,Romuald of Camaldoli,feb/day-07,
February,8,Stephen of Muret,feb/day-08,
February,9,Cyril of Alexandria,feb/day-09,
February,10,Scholastica,feb/day-10,
February,11,Calogerus of Ravenna,feb/day-11,swap 2026-05-14 (twelfth correction): Caedmon absent from AASS (English vernacular poet); Calogerus at line 92 (early Italian bishop)
February,12,Benedict of Aniane,feb/day-12,
February,13,Modomnoc of Ossory,feb/day-13,
February,14,Cyril (Apostle to the Slavs),feb/day-14,KEEP 2026-05-14 (twelfth correction): substantively in AASS at Mar 9 line 1384 (joint DE SANCTIS EPISCOPIS SLAVORVM APOSTOLIS CYRILLO ET METHODIO with Methodius); modern Roman calendar moved feast to Feb 14
February,15,Sigfrid of Sweden,feb/day-15,
February,16,Gilbert of Sempringham,feb/day-16,
February,17,Finan of Lindisfarne,feb/day-17,
February,18,Theotonius of Coimbra,feb/day-18,
February,19,Conrad of Piacenza,feb/day-19,
February,20,Eleutherius of Tournai,feb/day-20,swap 2026-05-14 (twelfth correction): Wulfric absent from AASS (English anchorite); Eleutherius at line 1437 (6th-c. Frankish bishop of Tournai)
February,21,Peter Damian,feb/day-21,
February,22,Margaret of Cortona,feb/day-22,
February,23,Polycarp of Smyrna,feb/day-23,
February,24,Matthias the Apostle,feb/day-24,AASS-native apostolic date
February,25,Walburga of Heidenheim,feb/day-25,
February,26,Porphyry of Gaza,feb/day-26,
February,27,Procopius of Decapolis,feb/day-27,
February,28,Proterius of Alexandria,feb/day-28,
February,29,Oswald of Worcester,feb/day-29,leap day
March,1,David of Wales,mar/day-01,
March,2,Chad of Mercia,mar/day-02,
March,3,Cunegunde of Luxembourg,mar/day-03,
March,4,Casimir of Poland,mar/day-04,
March,5,Gerasimus of the Jordan,mar/day-05,
March,6,Colette of Corbie,mar/day-06,
March,7,Thomas Aquinas,mar/day-07,AASS-native (death day 1274)
March,8,Felix of Dunwich,mar/day-08,
March,9,Frances of Rome,mar/day-09,AASS-native death day (1440)
March,10,Forty Martyrs of Sebaste,mar/day-10,
March,11,Eulogius of Córdoba,mar/day-11,
March,12,Gregory the Great,mar/day-12,
March,13,Leander of Seville,mar/day-13,
March,14,Matilda of Saxony,mar/day-14,
March,15,"Zachary, Pope",mar/day-15,
March,16,Heribert of Cologne,mar/day-16,
March,17,Patrick of Ireland,mar/day-17,
March,18,Cyril of Jerusalem,mar/day-18,
March,19,"Joseph, Husband of Mary",mar/day-19,feast
March,20,Cuthbert of Lindisfarne,mar/day-20,
